type,id,side,price,qty,ts
LIMIT,102,BUY,999092,21,106
LIMIT,103,BUY,999566,5,107
LIMIT,104,BUY,998817,59,108
LIMIT,105,BUY,998913,4,109
LIMIT,106,SELL,999344,36,110
LIMIT,107,SELL,999438,83,111
LIMIT,108,SELL,1001847,4,112
MARKET,109,SELL,0,12,113
LIMIT,110,SELL,998156,14,114
LIMIT,111,SELL,1000984,41,115
LIMIT,112,BUY,999577,74,116
LIMIT,113,BUY,1000903,56,117
CANCEL,83,BUY,0,0,118
LIMIT,114,BUY,999491,56,119
MARKET,115,SELL,0,40,120
LIMIT,116,BUY,1000948,39,121
LIMIT,117,SELL,999336,52,122
LIMIT,118,BUY,998785,54,123
LIMIT,119,SELL,1000774,96,124
LIMIT,120,SELL,999663,71,125
LIMIT,121,SELL,999175,27,126
LIMIT,122,SELL,999904,57,127
LIMIT,123,BUY,1000093,61,128
LIMIT,124,BUY,1000698,11,129
LIMIT,125,SELL,998382,97,130
LIMIT,126,SELL,998920,26,131
MARKET,127,BUY,0,16,132
LIMIT,128,BUY,999865,54,133
LIMIT,129,BUY,1000942,90,134
LIMIT,130,SELL,998999,19,135
LIMIT,131,BUY,1001656,97,136
LIMIT,132,BUY,1001188,55,137
LIMIT,133,SELL,998205,72,138
LIMIT,134,BUY,999869,18,139
LIMIT,135,SELL,1001891,97,140
LIMIT,136,SELL,1001402,71,141
LIMIT,137,BUY,1001046,61,142
LIMIT,138,BUY,1001440,82,143
LIMIT,139,SELL,1000567,31,144
LIMIT,140,BUY,1000922,37,145
LIMIT,141,SELL,999309,70,146
MARKET,142,BUY,0,15,147
LIMIT,143,BUY,1000893,28,148
MARKET,144,SELL,0,22,149
LIMIT,145,SELL,998255,27,150
LIMIT,146,SELL,1001706,99,151
LIMIT,147,BUY,1001509,98,152
LIMIT,148,SELL,998024,46,153
LIMIT,149,SELL,1001495,54,154
LIMIT,150,BUY,999999,29,155
LIMIT,151,SELL,998118,50,156
LIMIT,152,SELL,1000966,22,157
LIMIT,153,BUY,1000548,69,158
CANCEL,120,BUY,0,0,159
LIMIT,154,BUY,998343,83,160
LIMIT,155,SELL,998744,7,161
LIMIT,156,SELL,998866,59,162
LIMIT,157,SELL,999139,97,163
LIMIT,158,SELL,999033,11,164
LIMIT,159,BUY,1001899,45,165
LIMIT,160,BUY,1001199,84,166
CANCEL,10,BUY,0,0,167
LIMIT,161,BUY,1001437,3,168
LIMIT,162,BUY,998517,61,169
LIMIT,163,BUY,999904,90,170
LIMIT,164,SELL,998687,78,171
LIMIT,165,BUY,1001185,21,172
LIMIT,166,BUY,1000370,4,173
LIMIT,167,SELL,999624,92,174
LIMIT,168,BUY,998417,90,175
LIMIT,169,BUY,1001261,73,176
LIMIT,170,SELL,1000182,55,177
LIMIT,171,BUY,1000072,83,178
LIMIT,172,SELL,1001368,63,179
MARKET,173,SELL,0,41,180
LIMIT,174,SELL,1000897,20,181
LIMIT,175,SELL,1000522,69,182
LIMIT,176,SELL,999784,94,183
LIMIT,177,SELL,1001488,32,184
LIMIT,178,BUY,999142,58,185
LIMIT,179,SELL,1000334,79,186
LIMIT,180,SELL,998117,64,187
LIMIT,181,BUY,999997,28,188
LIMIT,182,SELL,999394,36,189
LIMIT,183,SELL,1000276,2,190
LIMIT,184,BUY,998350,31,191
LIMIT,185,SELL,1000274,98,192
LIMIT,186,SELL,1000645,92,193
LIMIT,187,BUY,998381,38,194
LIMIT,188,BUY,999254,85,195
LIMIT,189,SELL,1000267,68,196
LIMIT,190,SELL,999441,90,197
LIMIT,191,SELL,999029,30,198
MARKET,192,BUY,0,21,199
MARKET,193,BUY,0,13,200
LIMIT,194,SELL,999132,93,201
LIMIT,195,SELL,998411,25,202
LIMIT,196,SELL,998734,39,203
CANCEL,161,BUY,0,0,204
MARKET,197,BUY,0,4,205
LIMIT,198,BUY,1000612,97,206
LIMIT,199,BUY,1000351,37,207
LIMIT,200,SELL,999395,24,208
LIMIT,201,SELL,1001854,62,209
MARKET,202,BUY,0,26,210
LIMIT,203,BUY,998621,20,211
LIMIT,204,SELL,998348,32,212
MARKET,205,SELL,0,39,213
LIMIT,206,BUY,1001177,67,214
LIMIT,207,SELL,999217,76,215
LIMIT,208,SELL,1000329,80,216
MARKET,209,BUY,0,49,217
LIMIT,210,BUY,999083,85,218
MARKET,211,BUY,0,12,219
LIMIT,212,BUY,998010,53,220
LIMIT,213,SELL,999192,5,221
LIMIT,214,SELL,1000879,59,222
MARKET,215,BUY,0,17,223
LIMIT,216,BUY,999741,15,224
LIMIT,217,BUY,1001720,35,225
LIMIT,218,BUY,998244,22,226
LIMIT,219,SELL,999798,16,227
LIMIT,220,SELL,1000866,52,228
LIMIT,221,SELL,999793,11,229
LIMIT,222,SELL,1001008,42,230
LIMIT,223,BUY,998374,30,231
LIMIT,224,BUY,1001132,87,232
LIMIT,225,BUY,1001125,97,233
LIMIT,226,SELL,1001752,36,234
LIMIT,227,SELL,1000600,63,235
LIMIT,228,SELL,999425,53,236
LIMIT,229,BUY,1001513,21,237
LIMIT,230,SELL,999180,85,238
LIMIT,231,BUY,999862,12,239
LIMIT,232,SELL,998474,99,240
LIMIT,233,BUY,1000693,70,241
LIMIT,234,BUY,998768,67,242
LIMIT,235,SELL,1000561,57,243
LIMIT,236,BUY,999093,71,244
MARKET,237,SELL,0,29,245
LIMIT,238,SELL,998497,4,246
LIMIT,239,BUY,1000907,21,247
LIMIT,240,BUY,1000262,53,248
MARKET,241,BUY,0,30,249
LIMIT,242,BUY,1000041,92,250
LIMIT,243,SELL,999701,62,251
LIMIT,244,BUY,999870,71,252
MARKET,245,BUY,0,39,253
LIMIT,246,BUY,1001539,9,254
LIMIT,247,SELL,999392,65,255
LIMIT,248,BUY,999158,93,256
LIMIT,249,SELL,1001544,20,257
LIMIT,250,SELL,999413,43,258
LIMIT,251,SELL,999865,42,259
LIMIT,252,BUY,1000342,50,260
LIMIT,253,SELL,998178,41,261
LIMIT,254,SELL,999581,85,262
LIMIT,255,BUY,1000028,5,263
MARKET,256,SELL,0,7,264
LIMIT,257,SELL,998408,68,265
LIMIT,258,BUY,1000959,19,266
LIMIT,259,BUY,998306,61,267
LIMIT,260,SELL,999386,80,268
LIMIT,261,BUY,1001488,43,269
LIMIT,262,SELL,1001908,41,270
LIMIT,263,SELL,1001573,70,271
CANCEL,21,BUY,0,0,272
LIMIT,264,SELL,998931,96,273
MARKET,265,BUY,0,49,274
LIMIT,266,BUY,999817,22,275
LIMIT,267,BUY,998188,42,276
LIMIT,268,SELL,999468,48,277
LIMIT,269,BUY,1000175,53,278
LIMIT,270,BUY,998696,23,279
MARKET,271,SELL,0,40,280
LIMIT,272,SELL,1001738,75,281
MARKET,273,SELL,0,41,282
LIMIT,274,SELL,1000731,2,283
LIMIT,275,SELL,1001691,37,284
LIMIT,276,BUY,998302,57,285
LIMIT,277,SELL,1000617,55,286
LIMIT,278,SELL,1001462,39,287
LIMIT,279,SELL,1001495,62,288
MARKET,280,SELL,0,37,289
LIMIT,281,SELL,1000864,38,290
CANCEL,251,BUY,0,0,291
LIMIT,282,SELL,998033,73,292
LIMIT,283,BUY,1001729,78,293
LIMIT,284,SELL,1001177,30,294
LIMIT,285,SELL,998897,82,295
LIMIT,286,SELL,1000776,97,296
LIMIT,287,BUY,1000573,13,297
LIMIT,288,BUY,999265,57,298
CANCEL,114,BUY,0,0,299
LIMIT,289,BUY,1001725,38,300
LIMIT,290,SELL,998719,26,301
MARKET,291,SELL,0,34,302
LIMIT,292,SELL,1001401,22,303
LIMIT,293,SELL,1001962,38,304
LIMIT,294,SELL,1001294,15,305
LIMIT,295,BUY,998576,97,306
LIMIT,296,SELL,1001961,72,307
LIMIT,297,SELL,998057,34,308
LIMIT,298,SELL,999509,87,309
LIMIT,299,SELL,1000394,49,310
LIMIT,300,SELL,998443,87,311
LIMIT,301,BUY,1000537,72,312
LIMIT,302,BUY,1000652,9,313
LIMIT,303,SELL,1001724,90,314
LIMIT,304,SELL,998477,18,315
CANCEL,24,BUY,0,0,316
LIMIT,305,SELL,998475,13,317
LIMIT,306,BUY,999591,59,318
LIMIT,307,SELL,1000405,96,319
LIMIT,308,SELL,1000682,13,320
LIMIT,309,SELL,1001846,36,321
CANCEL,227,BUY,0,0,322
LIMIT,310,SELL,1001893,31,323
LIMIT,311,BUY,1000808,48,324
LIMIT,312,SELL,998248,51,325
LIMIT,313,BUY,1001887,59,326
MARKET,314,BUY,0,42,327
LIMIT,315,BUY,998207,43,328
LIMIT,316,BUY,1001223,73,329
LIMIT,317,BUY,1000401,28,330
LIMIT,318,BUY,999345,100,331
MARKET,319,BUY,0,18,332
LIMIT,320,BUY,998532,70,333
LIMIT,321,BUY,998450,85,334
LIMIT,322,BUY,998060,46,335
LIMIT,323,BUY,1000411,42,336
CANCEL,164,BUY,0,0,337
MARKET,324,SELL,0,34,338
MARKET,325,BUY,0,31,339
LIMIT,326,SELL,1000102,76,340
MARKET,327,BUY,0,40,341
CANCEL,317,BUY,0,0,342
LIMIT,328,BUY,998249,62,343
LIMIT,329,SELL,1000810,14,344
LIMIT,330,SELL,998301,11,345
LIMIT,331,BUY,998269,17,346
LIMIT,332,SELL,999560,77,347
LIMIT,333,SELL,1000070,78,348
LIMIT,334,BUY,1001493,84,349
LIMIT,335,BUY,999761,58,350
LIMIT,336,SELL,999388,59,351
LIMIT,337,BUY,999280,55,352
LIMIT,338,SELL,999533,20,353
LIMIT,339,SELL,998274,12,354
LIMIT,340,BUY,999768,13,355
LIMIT,341,SELL,1001325,17,356
LIMIT,342,SELL,1000744,16,357
LIMIT,343,SELL,1001555,93,358
MARKET,344,SELL,0,39,359
LIMIT,345,BUY,1000367,65,360
LIMIT,346,SELL,998918,14,361
LIMIT,347,SELL,998470,98,362
LIMIT,348,BUY,1001306,55,363
LIMIT,349,BUY,1000494,85,364
LIMIT,350,SELL,998118,24,365
LIMIT,351,SELL,1001774,44,366
LIMIT,352,BUY,1001562,19,367
LIMIT,353,SELL,998285,19,368
LIMIT,354,BUY,998375,96,369
LIMIT,355,SELL,999719,59,370
LIMIT,356,SELL,999276,93,371
LIMIT,357,BUY,1001618,7,372
LIMIT,358,BUY,1000760,11,373
LIMIT,359,SELL,999989,78,374
LIMIT,360,SELL,998882,97,375
LIMIT,361,SELL,999760,15,376
LIMIT,362,SELL,1000158,86,377
LIMIT,363,BUY,999618,77,378
MARKET,364,BUY,0,20,379
LIMIT,365,BUY,1001130,33,380
LIMIT,366,BUY,998031,64,381
LIMIT,367,BUY,998529,49,382
LIMIT,368,BUY,1000049,72,383
LIMIT,369,SELL,998295,51,384
LIMIT,370,BUY,999786,3,385
LIMIT,371,BUY,1001531,41,386
LIMIT,372,SELL,1000906,82,387
LIMIT,373,BUY,999659,3,388
LIMIT,374,BUY,1001282,80,389
LIMIT,375,SELL,998360,56,390
LIMIT,376,BUY,999784,76,391
LIMIT,377,BUY,999621,40,392
LIMIT,378,BUY,999364,100,393
LIMIT,379,BUY,1000173,66,394
LIMIT,380,SELL,999438,94,395
LIMIT,381,BUY,998967,14,396
MARKET,382,BUY,0,12,397
LIMIT,383,BUY,998725,99,398
LIMIT,384,SELL,1001090,73,399
LIMIT,385,SELL,1000789,73,400
LIMIT,386,SELL,1001539,81,401
LIMIT,387,SELL,998279,61,402
LIMIT,388,SELL,1001261,36,403
LIMIT,389,SELL,1000078,10,404
LIMIT,390,SELL,998154,8,405
LIMIT,391,SELL,998314,83,406
LIMIT,392,BUY,1000519,77,407
LIMIT,393,SELL,1000377,71,408
LIMIT,394,BUY,999842,74,409
LIMIT,395,SELL,1000478,61,410
LIMIT,396,BUY,999845,14,411
LIMIT,397,SELL,1000925,11,412
LIMIT,398,BUY,998160,32,413
LIMIT,399,SELL,1000146,67,414
LIMIT,400,SELL,999527,37,415
LIMIT,401,SELL,1000780,77,416
MARKET,402,SELL,0,5,417
LIMIT,403,SELL,999163,33,418
LIMIT,404,BUY,999365,11,419
LIMIT,405,BUY,1001754,45,420
LIMIT,406,SELL,998528,77,421
LIMIT,407,BUY,999268,72,422
LIMIT,408,SELL,1001330,17,423
LIMIT,409,BUY,1000646,86,424
LIMIT,410,SELL,998074,47,425
LIMIT,411,BUY,999399,99,426
LIMIT,412,BUY,998563,20,427
MARKET,413,BUY,0,33,428
LIMIT,414,BUY,1000711,44,429
LIMIT,415,BUY,1000446,49,430
LIMIT,416,BUY,1001405,89,431
LIMIT,417,BUY,1000953,57,432
CANCEL,225,BUY,0,0,433
LIMIT,418,BUY,1001971,57,434
LIMIT,419,SELL,998958,69,435
LIMIT,420,SELL,1001702,25,436
LIMIT,421,SELL,999891,99,437
LIMIT,422,SELL,1000059,68,438
LIMIT,423,BUY,1001345,26,439
LIMIT,424,BUY,1001575,33,440
MARKET,425,SELL,0,24,441
LIMIT,426,BUY,1000913,67,442
LIMIT,427,SELL,998343,98,443
LIMIT,428,SELL,1001708,66,444
MARKET,429,SELL,0,6,445
LIMIT,430,BUY,1001345,58,446
LIMIT,431,BUY,999699,7,447
LIMIT,432,SELL,998965,50,448
LIMIT,433,SELL,998919,4,449
LIMIT,434,BUY,1001437,92,450
LIMIT,435,BUY,998563,5,451
LIMIT,436,SELL,1000851,18,452
LIMIT,437,SELL,999837,79,453
CANCEL,51,BUY,0,0,454
CANCEL,137,BUY,0,0,455
LIMIT,438,SELL,998455,100,456
LIMIT,439,SELL,998499,7,457
LIMIT,440,SELL,998257,15,458
LIMIT,441,SELL,1000444,69,459
CANCEL,318,BUY,0,0,460
LIMIT,442,BUY,999193,55,461
CANCEL,221,BUY,0,0,462
LIMIT,443,SELL,998767,86,463
LIMIT,444,SELL,998277,68,464
LIMIT,445,BUY,999599,61,465
CANCEL,244,BUY,0,0,466
LIMIT,446,SELL,1001061,3,467
LIMIT,447,BUY,999412,31,468
LIMIT,448,BUY,1001160,75,469
LIMIT,449,SELL,998546,6,470
LIMIT,450,SELL,1001332,83,471
LIMIT,451,SELL,1000848,62,472
LIMIT,452,BUY,998258,92,473
LIMIT,453,SELL,998151,38,474
LIMIT,454,BUY,1001628,6,475
LIMIT,455,SELL,1000111,51,476
LIMIT,456,SELL,999037,5,477
LIMIT,457,BUY,999171,46,478
LIMIT,458,BUY,1001546,84,479
LIMIT,459,BUY,1001274,48,480
LIMIT,460,SELL,1001044,57,481
LIMIT,461,SELL,999388,24,482
LIMIT,462,SELL,999504,67,483
LIMIT,463,BUY,1000978,55,484
MARKET,464,BUY,0,35,485
LIMIT,465,BUY,998327,42,486
LIMIT,466,SELL,999826,78,487
LIMIT,467,BUY,1000825,57,488
LIMIT,468,BUY,1000977,46,489
LIMIT,469,SELL,999124,82,490
LIMIT,470,BUY,998307,86,491
LIMIT,471,SELL,1000101,96,492
LIMIT,472,BUY,998584,78,493
LIMIT,473,SELL,998142,17,494
MARKET,474,SELL,0,24,495
LIMIT,475,BUY,1000478,20,496
LIMIT,476,SELL,999523,57,497
LIMIT,477,BUY,1000168,47,498
LIMIT,478,SELL,999022,15,499
CANCEL,121,BUY,0,0,500
LIMIT,479,SELL,1001741,72,501
MARKET,480,SELL,0,46,502
LIMIT,481,SELL,1000842,63,503
LIMIT,482,BUY,1001493,10,504
LIMIT,483,SELL,998359,88,505
LIMIT,484,SELL,1000735,45,506
LIMIT,485,SELL,1001650,39,507
LIMIT,486,BUY,1001250,47,508
LIMIT,487,BUY,998823,18,509
LIMIT,488,SELL,998107,47,510
LIMIT,489,SELL,999914,71,511
MARKET,490,BUY,0,5,512
LIMIT,491,SELL,1000153,53,513
LIMIT,492,BUY,998513,41,514
LIMIT,493,SELL,999908,88,515
LIMIT,494,BUY,1001596,100,516
LIMIT,495,BUY,1001144,17,517
LIMIT,496,BUY,1001405,16,518
LIMIT,497,SELL,998674,21,519
LIMIT,498,BUY,999417,67,520
LIMIT,499,BUY,999026,26,521
LIMIT,500,SELL,998512,81,522
LIMIT,501,BUY,1000058,83,523
LIMIT,502,BUY,998701,85,524
LIMIT,503,SELL,1001451,73,525
CANCEL,18,BUY,0,0,526
MARKET,504,SELL,0,42,527
LIMIT,505,SELL,1000531,82,528
CANCEL,388,BUY,0,0,529
LIMIT,506,SELL,999978,32,530
LIMIT,507,SELL,999218,59,531
MARKET,508,BUY,0,11,532
LIMIT,509,SELL,999902,27,533
LIMIT,510,BUY,999280,92,534
LIMIT,511,SELL,1001995,52,535
MARKET,512,SELL,0,33,536
LIMIT,513,SELL,998990,60,537
MARKET,514,SELL,0,16,538
MARKET,515,BUY,0,19,539
LIMIT,516,SELL,999016,21,540
LIMIT,517,SELL,998777,98,541
LIMIT,518,SELL,1000042,40,542
LIMIT,519,BUY,1001871,51,543
LIMIT,520,BUY,998881,75,544
LIMIT,521,BUY,999152,64,545
LIMIT,522,SELL,999170,69,546
CANCEL,75,BUY,0,0,547
LIMIT,523,SELL,1000979,47,548
LIMIT,524,SELL,998185,52,549
MARKET,525,BUY,0,24,550
LIMIT,526,BUY,999582,65,551
LIMIT,527,SELL,1001380,80,552
LIMIT,528,BUY,998527,13,553
LIMIT,529,SELL,1000284,47,554
LIMIT,530,BUY,1000467,66,555
LIMIT,531,BUY,998185,5,556
MARKET,532,SELL,0,31,557
LIMIT,533,BUY,1000483,66,558
MARKET,534,SELL,0,11,559
LIMIT,535,SELL,1000431,44,560
LIMIT,536,SELL,1000902,73,561
LIMIT,537,BUY,999508,43,562
LIMIT,538,SELL,1000390,40,563
LIMIT,539,BUY,1000444,61,564
LIMIT,540,BUY,1000954,7,565
LIMIT,541,BUY,1000147,81,566
LIMIT,542,SELL,998605,88,567
LIMIT,543,BUY,998781,3,568
LIMIT,544,SELL,998620,53,569
LIMIT,545,SELL,1000055,100,570
LIMIT,546,SELL,1001575,95,571
LIMIT,547,BUY,1000124,27,572
LIMIT,548,SELL,1000152,49,573
LIMIT,549,BUY,999882,69,574
LIMIT,550,SELL,1000768,99,575
LIMIT,551,SELL,1000498,62,576
LIMIT,552,BUY,999142,72,577
LIMIT,553,SELL,1001158,37,578
LIMIT,554,SELL,999298,62,579
LIMIT,555,SELL,999178,16,580
LIMIT,556,SELL,1001669,51,581
LIMIT,557,BUY,999189,6,582
LIMIT,558,BUY,999418,57,583
LIMIT,559,SELL,998876,26,584
LIMIT,560,SELL,1001821,72,585
LIMIT,561,BUY,998447,79,586
LIMIT,562,BUY,998993,7,587
LIMIT,563,BUY,1000613,30,588
MARKET,564,SELL,0,22,589
LIMIT,565,BUY,1000790,99,590
MARKET,566,BUY,0,27,591
LIMIT,567,SELL,999955,84,592
LIMIT,568,SELL,999315,37,593
LIMIT,569,BUY,1000671,74,594
LIMIT,570,BUY,1001740,23,595
LIMIT,571,BUY,1001825,5,596
LIMIT,572,SELL,1001227,64,597
LIMIT,573,SELL,1001591,5,598
CANCEL,356,BUY,0,0,599
LIMIT,574,SELL,999165,59,600
LIMIT,575,SELL,1001642,18,601
LIMIT,576,SELL,999117,25,602
LIMIT,577,SELL,998665,94,603
LIMIT,578,SELL,1000943,24,604
CANCEL,216,BUY,0,0,605
LIMIT,579,BUY,998718,79,606
LIMIT,580,SELL,1001387,55,607
LIMIT,581,BUY,999641,86,608
MARKET,582,BUY,0,31,609
LIMIT,583,BUY,998027,34,610
LIMIT,584,SELL,1001087,35,611
LIMIT,585,SELL,1000385,93,612
LIMIT,586,SELL,1000677,47,613
LIMIT,587,BUY,1000735,16,614
LIMIT,588,BUY,999660,88,615
LIMIT,589,SELL,1000827,16,616
LIMIT,590,SELL,999505,79,617
LIMIT,591,BUY,999958,20,618
LIMIT,592,SELL,999703,90,619
LIMIT,593,SELL,1001102,69,620
LIMIT,594,BUY,1001120,32,621
LIMIT,595,BUY,1000152,58,622
LIMIT,596,SELL,998319,73,623
MARKET,597,BUY,0,37,624
LIMIT,598,BUY,999343,67,625
LIMIT,599,BUY,1000936,75,626
LIMIT,600,SELL,1001312,8,627
LIMIT,601,SELL,999871,73,628
MARKET,602,SELL,0,44,629
LIMIT,603,BUY,999621,33,630
LIMIT,604,BUY,1000368,10,631
CANCEL,426,BUY,0,0,632
LIMIT,605,BUY,1001828,9,633
LIMIT,606,SELL,998129,37,634
LIMIT,607,BUY,1001136,83,635
LIMIT,608,SELL,999533,49,636
LIMIT,609,SELL,999538,11,637
LIMIT,610,BUY,1000676,45,638
MARKET,611,SELL,0,34,639
MARKET,612,BUY,0,1,640
LIMIT,613,SELL,999896,87,641
LIMIT,614,SELL,1000178,49,642
LIMIT,615,BUY,999886,45,643
LIMIT,616,BUY,1001839,93,644
LIMIT,617,BUY,1001315,85,645
LIMIT,618,BUY,998985,27,646
MARKET,619,BUY,0,29,647
LIMIT,620,BUY,999002,95,648
CANCEL,537,BUY,0,0,649
LIMIT,621,BUY,1001089,100,650
MARKET,622,SELL,0,15,651
LIMIT,623,SELL,1000365,77,652
LIMIT,624,SELL,998970,39,653
LIMIT,625,BUY,999693,39,654
LIMIT,626,BUY,1000564,87,655
LIMIT,627,SELL,998192,45,656
LIMIT,628,SELL,1001218,68,657
LIMIT,629,SELL,999672,20,658
LIMIT,630,BUY,1001090,69,659
LIMIT,631,BUY,999231,91,660
MARKET,632,SELL,0,4,661
LIMIT,633,SELL,1000282,68,662
MARKET,634,BUY,0,17,663
LIMIT,635,BUY,1001777,58,664
LIMIT,636,BUY,1000193,93,665
LIMIT,637,BUY,999099,49,666
LIMIT,638,BUY,1001578,10,667
LIMIT,639,BUY,999963,27,668
LIMIT,640,SELL,999241,2,669
LIMIT,641,BUY,1001940,95,670
MARKET,642,SELL,0,16,671
LIMIT,643,BUY,999624,31,672
LIMIT,644,SELL,999559,60,673
LIMIT,645,SELL,999263,34,674
LIMIT,646,SELL,999908,13,675
LIMIT,647,SELL,1001119,41,676
LIMIT,648,SELL,999281,53,677
CANCEL,284,BUY,0,0,678
LIMIT,649,BUY,999068,71,679
LIMIT,650,SELL,999209,20,680
LIMIT,651,BUY,999555,73,681
LIMIT,652,SELL,1000255,84,682
LIMIT,653,SELL,999054,98,683
LIMIT,654,SELL,999887,22,684
LIMIT,655,SELL,998693,18,685
LIMIT,656,SELL,998753,70,686
LIMIT,657,BUY,1000146,5,687
LIMIT,658,BUY,1001871,86,688
CANCEL,9,BUY,0,0,689
LIMIT,659,BUY,998278,91,690
LIMIT,660,BUY,1000071,59,691
LIMIT,661,SELL,1000700,63,692
CANCEL,647,BUY,0,0,693
LIMIT,662,BUY,998068,68,694
LIMIT,663,SELL,998070,65,695
LIMIT,664,SELL,1001302,23,696
MARKET,665,BUY,0,34,697
MARKET,666,BUY,0,40,698
LIMIT,667,SELL,999094,51,699
MARKET,668,SELL,0,30,700
LIMIT,669,BUY,999228,88,701
LIMIT,670,BUY,1000677,84,702
LIMIT,671,BUY,999660,49,703
LIMIT,672,SELL,998229,82,704
CANCEL,222,BUY,0,0,705
MARKET,673,SELL,0,42,706
LIMIT,674,BUY,1001665,68,707
LIMIT,675,BUY,998865,89,708
LIMIT,676,SELL,999110,6,709
LIMIT,677,SELL,1001683,70,710
LIMIT,678,BUY,998734,41,711
CANCEL,269,BUY,0,0,712
LIMIT,679,SELL,1001804,10,713
LIMIT,680,BUY,1000321,50,714
LIMIT,681,SELL,999572,97,715
LIMIT,682,BUY,1000051,96,716
LIMIT,683,BUY,998400,56,717
LIMIT,684,BUY,999395,78,718
LIMIT,685,SELL,1001968,100,719
LIMIT,686,SELL,1001209,58,720
LIMIT,687,SELL,1000265,49,721
LIMIT,688,SELL,998351,99,722
LIMIT,689,BUY,1000920,10,723
MARKET,690,BUY,0,25,724
LIMIT,691,BUY,1001029,50,725
LIMIT,692,BUY,998374,1,726
LIMIT,693,SELL,999474,98,727
LIMIT,694,BUY,998357,24,728
